STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020301,239,611
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020401,500,1100
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020501,300,1347
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020601,109,269
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020701,140,299
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020801,119,452
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020901,861,1428
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20021001,399,1141
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20021101,310,622
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20021201,351,455
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030101,10,10
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030301,160,300
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030401,330,782
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030501,541,1821
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030601,130,414
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030701,287,770
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030801,170,291
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20030901,140,598
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20031001,170,302
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20031101,279,319
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20031201,61,77
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040101,269,398
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040201,41,89
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040301,79,108
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040401,419,993
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040501,119,266
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040601,130,578
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040701,371,661
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040801,381,517
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20040901,41,51
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20041001,1021,2179
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20041101,130,371
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20041201,99,186
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050101,399,429
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050301,180,299
